Field1,Field2_text,Field2_links,Field3
AN 7:6  Dhana Sutta | Treasure,AN 7:6,https://www.dhammatalks.org/suttas/AN/AN7_6.html,AN 7:6  Dhana Sutta | Treasure  —  The noble treasures defined.
AN 7:50  Nandamātar Sutta | About Nandamātar,AN 7:50,https://www.dhammatalks.org/suttas/AN/AN7_50.html,AN 7:50  Nandamātar Sutta | About Nandamātar  —  The amazing qualities of one of the Buddha’s foremost female lay followers.
AN 7:51  Abyākata Sutta | Undeclared,AN 7:51,https://www.dhammatalks.org/suttas/AN/AN7_51.html,"AN 7:51  Abyākata Sutta | Undeclared  —  Because a disciple of the noble ones sees views, the origination of views, the cessation of views, and the path of practice leading to the cessation of views, he/she sees no need to answer any of the ten undeclared questions."
AN 7:54  Sīha Sutta | To Sīha,AN 7:54,https://www.dhammatalks.org/suttas/AN/AN7_54.html,AN 7:54  Sīha Sutta | To Sīha  —  The rewards of giving.
AN 7:56  Kimila Sutta | To Kimila,AN 7:56,https://www.dhammatalks.org/suttas/AN/AN7_56.html,"AN 7:56  Kimila Sutta | To Kimila  —  Reasons why, after the passing of the Buddha, the True Dhamma will or will not last a long time."
AN 7:58  Capala Sutta | Nodding,AN 7:58,https://www.dhammatalks.org/suttas/AN/AN7_58.html,"AN 7:58  Capala Sutta | Nodding  —  The Buddha teaches Ven. Moggallāna (a) seven ways of shaking off drowsiness, (b) three attitudes to have toward others that will help promote concentration, and (c) how to be utterly free from bonds."
AN 7:60  Kodhana Sutta | An Angry Person,AN 7:60,https://www.dhammatalks.org/suttas/AN/AN7_60.html,"AN 7:60  Kodhana Sutta | An Angry Person  —  Seven ways, pleasing to an enemy, in which you harm yourself when you are angry."
AN 7:63  Nagara Sutta | The Fortress,AN 7:63,https://www.dhammatalks.org/suttas/AN/AN7_63.html,"AN 7:63  Nagara Sutta | The Fortress  —  In an extended metaphor, the Buddha compares the factors of the practice to a well-fortified fortress that can’t be undone by external foes or duplicitous allies."
AN 7:64  Dhammaññū Sutta | One With a Sense of Dhamma,AN 7:64,https://www.dhammatalks.org/suttas/AN/AN7_64.html,"AN 7:64  Dhammaññū Sutta | One With a Sense of Dhamma  —  Seven qualities of a monk worthy of respect: having a sense of Dhamma, a sense of meaning, a sense of himself, a sense of moderation, a sense of time, a sense of social gatherings, and a sense of distinctions among individuals."
AN 7:70  Arakenānusasani Sutta | Araka’s Instructions,AN 7:70,https://www.dhammatalks.org/suttas/AN/AN7_70.html,"AN 7:70  Arakenānusasani Sutta | Araka’s Instructions  —  The Buddha recalls the vivid teachings of Araka—who lived when the human life span was 60,000 years—counseling heedfulness because “next to nothing is the life of human beings.”"
AN 7:80  Satthusāsana Sutta | The Teacher’s Instruction,AN 7:80,https://www.dhammatalks.org/suttas/AN/AN7_80.html,AN 7:80  Satthusāsana Sutta | The Teacher’s Instruction  —  The Buddha teaches Ven. Upāli seven ways of judging whether a dhamma—a teaching or an internal quality—is in line with the Dhamma and Vinaya.
