Field1,Field2_links
"Iti 77  —  This body falls apart; consciousness is subject to fading; all acquisitions are inconstant, stressful, subject to change.",https://www.dhammatalks.org/suttas/KN/Iti/iti77.html
Iti 78  —  Like attracts like. It’s in accordance with their properties—either low or admirable—that beings come together and associate with one another.,https://www.dhammatalks.org/suttas/KN/Iti/iti78.html
Iti 79  —  Three things lead to the falling away of a monk in training.,https://www.dhammatalks.org/suttas/KN/Iti/iti79.html
Iti 80  —  Three kinds of unskillful thinking.,https://www.dhammatalks.org/suttas/KN/Iti/iti80.html
Iti 81  —  The dangers of letting your mind be overcome by the fact that you either receive offerings or don’t receive offerings.,https://www.dhammatalks.org/suttas/KN/Iti/iti81.html
Iti 82  —  Three occasions on which devas give voice to joy over the behavior of human beings.,https://www.dhammatalks.org/suttas/KN/Iti/iti82.html
"Iti 83  —  Five omens that appear when a deva is about to pass away, and the encouragement that other devas give at that time.",https://www.dhammatalks.org/suttas/KN/Iti/iti83.html
Iti 84  —  Three people who appear for the benefit of the world.,https://www.dhammatalks.org/suttas/KN/Iti/iti84.html
"Iti 85  —  The rewards of focusing on the foulness of the body, of establishing mindfulness of breathing to the fore, and of focusing on the inconstancy of all fabrications.",https://www.dhammatalks.org/suttas/KN/Iti/iti85.html
Iti 86  —  Practicing the Dhamma in accordance with the Dhamma.,https://www.dhammatalks.org/suttas/KN/Iti/iti86.html
Iti 87  —  Three kinds of unskillful thinking; three kinds of skillful thinking.,https://www.dhammatalks.org/suttas/KN/Iti/iti87.html
Iti 88  —  Three inside stains.,https://www.dhammatalks.org/suttas/KN/Iti/iti88.html
"Iti 89  —  Conquered by three forms of false Dhamma, Devadatta was incurably doomed to deprivation.",https://www.dhammatalks.org/suttas/KN/Iti/iti89.html
"Iti 90  —  Three supreme objects of confidence: the Buddha, the Dhamma, and the Saṅgha.",https://www.dhammatalks.org/suttas/KN/Iti/iti90.html
"Iti 91  —  Why reasonable people take up the life of alms-going, and the dangers that lie in wait if they do not train their minds.",https://www.dhammatalks.org/suttas/KN/Iti/iti91.html
"Iti 92  —  To see the Dhamma is to see the Buddha and to be close to him, even when physically far away.",https://www.dhammatalks.org/suttas/KN/Iti/iti92.html
"Iti 93  —  The three fires: of passion, aversion, and delusion.",https://www.dhammatalks.org/suttas/KN/Iti/iti93.html
"Iti 94  —  On having consciousness neither externally scattered and diffused, nor internally positioned.",https://www.dhammatalks.org/suttas/KN/Iti/iti94.html
Iti 95  —  Three ways in which devas obtain sensual pleasures.,https://www.dhammatalks.org/suttas/KN/Iti/iti95.html
Iti 96  —  The yoke of sensuality and the yoke of becoming.,https://www.dhammatalks.org/suttas/KN/Iti/iti96.html
"Iti 97  —  Admirable virtue, admirable qualities, and admirable discernment defined.",https://www.dhammatalks.org/suttas/KN/Iti/iti97.html
"Iti 98  —  Two kinds of gifts, sharing, and assistance: in material things and in Dhamma.",https://www.dhammatalks.org/suttas/KN/Iti/iti98.html
Iti 99  —  The three knowledges that characterize a brahman in the Buddha’s sense of the word.,https://www.dhammatalks.org/suttas/KN/Iti/iti99.html
